timestamp,Infrared to Red Signal Ratio
05/22/22 00:00:33,0
05/22/22 00:01:33,0
05/22/22 00:02:33,-9
05/22/22 00:03:34,4
05/22/22 00:04:34,0
05/22/22 00:05:34,-4
05/22/22 00:06:34,-20
05/22/22 00:07:34,6
05/22/22 00:08:34,0
05/22/22 00:09:34,0
05/22/22 00:10:34,11
05/22/22 00:11:34,1
05/22/22 00:12:34,0
05/22/22 00:13:34,-9
05/22/22 00:14:34,0
05/22/22 00:15:34,-16
05/22/22 00:16:34,8
05/22/22 00:17:34,-34
05/22/22 00:18:34,7
05/22/22 00:19:34,-6
05/22/22 00:20:34,69
05/22/22 00:21:34,1
05/22/22 00:22:34,-57
05/22/22 00:23:34,0
05/22/22 00:24:34,0
05/22/22 00:25:34,8
05/22/22 00:26:34,-13
05/22/22 00:27:34,-14
05/22/22 00:28:34,0
05/22/22 00:29:34,-10
05/22/22 00:30:34,0
05/22/22 00:31:34,5
05/22/22 00:32:34,1
05/22/22 00:33:34,20
05/22/22 00:34:34,-17
05/22/22 00:35:34,-20
05/22/22 00:36:34,-8
05/22/22 00:37:34,-2
05/22/22 00:38:34,-1
05/22/22 00:39:34,6
05/22/22 00:40:34,-19
05/22/22 00:41:34,-4
05/22/22 00:42:34,-49
05/22/22 00:43:34,-65
05/22/22 00:44:34,0
05/22/22 00:45:34,1
05/22/22 00:46:34,4
05/22/22 00:47:34,-8
05/22/22 00:48:34,-19
05/22/22 00:49:34,45
05/22/22 00:50:34,-4
05/22/22 00:51:34,0
05/22/22 00:52:34,0
05/22/22 00:53:34,6
05/22/22 00:54:34,27
05/22/22 00:55:34,-17
05/22/22 00:56:34,10
05/22/22 00:57:34,24
05/22/22 00:58:34,2
05/22/22 00:59:34,15
05/22/22 01:00:34,-4
05/22/22 01:01:34,16
05/22/22 01:02:34,0
05/22/22 01:03:34,-15
05/22/22 01:04:34,-10
05/22/22 01:05:34,-26
05/22/22 01:06:34,-15
05/22/22 01:07:34,0
05/22/22 01:08:34,3
05/22/22 01:09:34,9
05/22/22 01:10:34,-4
05/22/22 01:11:34,0
05/22/22 01:12:34,-16
05/22/22 01:13:34,38
05/22/22 01:14:34,0
05/22/22 01:15:34,1
05/22/22 01:16:34,2
05/22/22 01:17:34,-13
05/22/22 01:18:34,-17
05/22/22 01:19:34,1
05/22/22 01:20:34,10
05/22/22 01:21:34,-17
