type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-01-04T22:32,2022-01-05T06:25,473,28.813742071881606,NaN,NaN,NaN,NaN
IDT,2022-01-05T22:57:30,2022-01-06T06:14:30,437,29.228375286041192,NaN,NaN,NaN,NaN
IDT,2022-01-06T21:17,2022-01-07T06:15,538,28.95074349442379,1.8189894035458565E-12,1323.9647026023595,0.2112539955360135,1.5701858544481444
IDT,2022-01-07T23:14:30,2022-01-08T07:39:30,499,30.774549098196392,840.809864273986,2108.06274120335,0.9050531308516231,1.6293313180250106
IDT,2022-01-09T21:51,2022-01-10T06:25:30,511,29.28297455968689,27.900228832950233,1904.9652108979644,0.7870129074202711,1.7705279501485025
IDT,2022-01-11T22:37,2022-01-12T06:16:30,460,29.39891304347826,65.88953548254176,902.007349752239,0.7039404982761256,1.700552646847913
IDT,2022-01-12T22:06:30,2022-01-13T06:20:30,482,29.29709543568465,6.806262230920765,861.0520439950051,0.6439778705001515,1.6460784498933534
IDT,2022-01-13T22:22,2022-01-14T06:44,500,30.917,813.4825011571156,1692.4530593777308,0.8037638811255968,1.6115308222956954
IDT,2022-01-14T23:53:30,2022-01-15T07:16,442,30.339366515837103,460.6838174273853,592.5924426233396,0.7930070448336852,1.5226652636883848
IDT,2022-01-15T22:58:30,2022-01-16T07:14:30,488,32.85901639344262,1713.3739310842502,6611.437024014536,1.2561451928174296,1.7541277005955633
IDT,2022-01-17T02:58,2022-01-17T07:39,281,34.01423487544484,1296.9054347826095,6114.219027646584,1.7015090328009175,1.9278679075738323
IDT,2022-01-18T00:22,2022-01-18T09:48:30,557,32.575583482944346,1507.489142730672,4609.982433484402,1.7446578245883595,1.9010617519975286
IDT,2022-01-18T22:12:30,2022-01-19T07:08:30,522,32.411877394636015,1081.8506787330316,3140.693661063444,1.7493979429631283,1.8615548461176654
IDT,2022-01-19T22:31,2022-01-20T04:55:30,385,33.09246753246753,976.1712442985518,2770.8398394685937,1.8000195958617276,1.8310136181830794
IDT,2022-01-20T21:32:30,2022-01-21T07:20:30,579,32.685146804835924,1106.2360721442892,2968.56436496228,1.7978258824898306,1.7859050348672427
IDT,2022-01-21T23:31,2022-01-22T07:20,469,33.24413646055437,1124.8317364729464,2952.549968820298,1.8270759531188574,1.745719743853509
IDT,2022-01-23T01:35,2022-01-23T09:19,463,33.23218142548596,1071.929,2762.300607000012,1.8418846465044394,1.7080245385586923
IDT,2022-01-23T21:37:30,2022-01-24T06:30:30,533,32.88893058161351,652.654174329502,1460.3544301495422,1.828559293307444,1.6778166928754847
IDT,2022-01-24T21:46,2022-01-25T06:35:30,530,32.994339622641505,308.704980842911,373.9120098061394,1.8174206619372273,1.6512350741417086
IDT,2022-01-25T21:29,2022-01-26T06:56:30,561,32.52513368983957,31.76839080459831,640.2146000969224,1.786090884928682,1.662727450261562
IDT,2022-01-26T22:24,2022-01-27T06:53:30,510,32.25352941176471,-80.75747126436909,285.01642973534763,1.7491087179502078,1.668133184389729
IDT,2022-01-28T00:25,2022-01-28T07:21:30,407,32.6960687960688,92.61824430921843,337.27021911286283,1.7254809667290494,1.6593798808450755
IDT,2022-01-29T00:11,2022-01-29T07:42,451,33.496008869179605,437.8647058823535,657.444790814654,1.7331268300813711,1.631036527303605
IDT,2022-01-29T23:31,2022-01-30T07:53:30,493,32.27261663286004,-96.57323232323142,716.8179496985395,1.6997751571979347,1.6448709849626397
IDT,2022-01-30T22:54:30,2022-01-31T06:56:30,470,32.958723404255316,203.78716577540217,403.99925305263605,1.6836211927369233,1.6270765745190963
IDT,2022-01-31T21:53,2022-02-01T06:57,544,32.92922794117647,206.10492900277313,464.0921172045637,1.6663387854166887,1.6090201264445723
