timestamp,bucket_values
2022-06-02T05:23:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.002, 0.001, 0.002, 0.003, 0.006, 0.011, 0.019, 0.037, 0.072, 0.089, 0.091, 0.094, 0.109, 0.105, 0.093, 0.083, 0.069, 0.058, 0.039, 0.013, 0.004]"
2022-06-03T05:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.011, 0.029, 0.081, 0.147, 0.152, 0.134, 0.121, 0.087, 0.069, 0.048, 0.037, 0.029, 0.021, 0.014, 0.006, 0.002, 0.001]"
2022-06-04T08:23:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.006, 0.02, 0.106, 0.233, 0.261, 0.17, 0.082, 0.049, 0.03, 0.016, 0.011, 0.006, 0.003, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0]"
2022-06-05T08:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.006, 0.024, 0.068, 0.139, 0.182, 0.187, 0.128, 0.1, 0.079, 0.041, 0.021, 0.01, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0]"
2022-06-06T06:37:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.003, 0.004, 0.008, 0.032, 0.082, 0.142, 0.146, 0.119, 0.096, 0.075, 0.05, 0.043, 0.036, 0.028, 0.023, 0.029, 0.039, 0.026, 0.013]"
2022-06-07T05:34:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.007, 0.022, 0.067, 0.118, 0.128, 0.127, 0.137, 0.106, 0.079, 0.062, 0.046, 0.028, 0.022, 0.012, 0.013, 0.01, 0.006, 0.003]"
2022-06-08T06:19:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.002, 0.008, 0.014, 0.042, 0.089, 0.127, 0.14, 0.123, 0.101, 0.073, 0.057, 0.047, 0.033, 0.021, 0.022, 0.028, 0.036, 0.021, 0.011]"
2022-06-09T05:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.001, 0.002, 0.004, 0.011, 0.031, 0.048, 0.079, 0.104, 0.1, 0.089, 0.086, 0.073, 0.066, 0.059, 0.056, 0.053, 0.048, 0.045, 0.028, 0.014]"
2022-06-10T07:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.01, 0.019, 0.043, 0.078, 0.119, 0.139, 0.132, 0.12, 0.071, 0.052, 0.044, 0.034, 0.03, 0.03, 0.028, 0.026, 0.014, 0.005]"
2022-06-11T08:55:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.007, 0.011, 0.046, 0.119, 0.182, 0.183, 0.147, 0.102, 0.076, 0.046, 0.025, 0.018, 0.013, 0.009, 0.007, 0.005, 0.002, 0.0]"
2022-06-12T09:24:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.006, 0.03, 0.09, 0.148, 0.186, 0.182, 0.153, 0.099, 0.054, 0.026, 0.011, 0.005, 0.002, 0.001, 0.002, 0.0, 0.0, 0.0]"
