sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
37248576165,2022-06-12T09:24:30Z,60,16,16,28,32,56,0.16947250280583614
37159174789,2022-06-05T08:00:00Z,76,22,14,40,98,55,0.1523625843780135
37146905074,2022-06-04T08:23:00Z,75,23,10,42,108,53,0.1927461139896373
37133409586,2022-06-03T05:44:30Z,81,20,20,41,106,52,0.1018981018981019
37121442779,2022-06-02T05:23:30Z,76,19,22,35,72,55,0.11978021978021978
37048985561,2022-05-27T06:36:30Z,80,18,21,41,88,58,0.12
37011938352,2022-05-24T11:21:00Z,75,22,15,38,99,57,0.10620525059665871
36995799730,2022-05-23T04:39:30Z,77,21,21,35,73,57,0.10677382319173363
36975136378,2022-05-21T09:24:30Z,70,20,19,31,66,56,0.13391739674593242
36960972407,2022-05-20T05:54:30Z,84,21,22,41,64,57,0.07968901846452867
36948735316,2022-05-19T06:44:30Z,81,22,22,37,103,57,0.08277404921700224
36932785115,2022-05-18T05:12:30Z,69,17,20,32,61,55,0.09502762430939227
36920949984,2022-05-17T06:11:30Z,84,21,22,41,81,55,0.0772238514173998
36910904494,2022-05-16T06:41:30Z,79,19,23,37,83,56,0.07440811724915446
36895421492,2022-05-15T07:27:30Z,85,21,23,41,62,58,0.06687565308254964
36885020542,2022-05-14T09:50:00Z,78,19,22,37,120,58,0.0920666013712047
36885020541,2022-05-13T07:34:00Z,81,19,22,40,80,58,0.08533916849015317
36846651197,2022-05-11T05:17:00Z,86,21,22,43,76,58,0.08253968253968254
36821222814,2022-05-09T06:30:30Z,88,22,23,43,103,61,0.07739307535641547
36821222810,2022-05-05T04:40:00Z,78,21,21,36,67,58,0.0853960396039604
36491041999,2022-04-13T06:17:30Z,83,21,22,40,68,58,0.09870388833499502
36473805753,2022-04-12T05:10:30Z,81,21,23,37,77,57,0.0711159737417943
36425968171,2022-04-07T05:52:00Z,81,21,24,36,65,57,0.060382916053019146
36219935415,2022-03-23T06:27:30Z,80,19,21,40,92,61,0.09463414634146342
36083425622,2022-03-12T06:56:00Z,71,21,16,34,70,57,0.09183673469387756
36056638469,2022-03-11T06:38:30Z,84,21,21,42,43,58,0.0981012658227848
36029304041,2022-03-09T06:00:30Z,84,22,23,39,99,60,0.0719656283566058
36015592980,2022-03-07T06:48:30Z,80,18,19,43,102,63,0.07523510971786834
35898393732,2022-02-27T09:50:30Z,68,18,14,36,82,60,0.15426105717367852
35883902389,2022-02-26T07:59:30Z,79,20,22,37,39,60,0.10498409331919406
35857546975,2022-02-24T06:18:00Z,79,16,22,41,55,58,0.10569948186528498
35832135756,2022-02-22T06:44:30Z,82,21,23,38,80,60,0.09591642924976258
35805717917,2022-02-20T03:56:30Z,60,19,13,28,65,56,0.08936170212765958
35764063692,2022-02-17T07:14:30Z,84,22,22,40,92,57,0.09321175278622088
35735594857,2022-02-15T07:09:30Z,87,22,23,42,101,57,0.08324661810613944
35721357428,2022-02-14T05:55:30Z,83,23,20,40,118,59,0.06361085126286249
35671916262,2022-02-10T05:42:30Z,84,22,23,39,97,58,0.08116883116883117
35656548505,2022-02-09T05:33:30Z,83,19,23,41,90,59,0.08221993833504625
35643066762,2022-02-08T05:48:30Z,81,17,24,40,67,61,0.055501460564751706
35563980967,2022-02-02T06:43:30Z,73,21,13,39,66,54,0.08937437934458789
35548970754,2022-02-01T06:57:00Z,88,21,21,46,79,54,0.09692451071761417
35533573334,2022-01-31T06:56:30Z,75,19,21,35,56,56,0.11606217616580311
35481341818,2022-01-27T06:53:30Z,84,21,22,41,59,58,0.10160965794768612
35437697656,2022-01-24T06:30:30Z,93,24,23,46,130,60,0.06747891283973759
35423507470,2022-01-23T09:19:00Z,62,19,16,27,80,58,0.15899122807017543
35412909782,2022-01-22T07:20:00Z,72,19,17,36,65,57,0.10690423162583519
35398770351,2022-01-21T07:20:30Z,89,23,21,45,107,57,0.0994052676295667
35383599420,2022-01-20T04:55:30Z,65,15,19,31,22,56,0.11140235910878113
35371601617,2022-01-19T07:08:30Z,88,21,21,46,40,57,0.08201304753028892
35360326166,2022-01-18T09:48:30Z,84,17,22,45,72,59,0.09349955476402494
35347189714,2022-01-17T07:39:00Z,46,11,15,20,0,58,0.15313653136531366
35331299247,2022-01-16T07:14:30Z,79,17,21,41,32,57,0.11883182275931521
35324566688,2022-01-15T07:16:00Z,74,21,19,34,69,57,0.11363636363636363
35197668771,2022-01-06T06:14:30Z,78,20,21,37,36,58,0.11542857142857142
